sno,sna,tot,lat,lng,sarea
1406,工建樟樹一路口,36,25.063062,121.641033,汐止區
1407,中和青年社會住宅,32,24.991135,121.519329,中和區
1408,蘆洲李宅古蹟,30,25.084959,121.466551,蘆洲區
1409,捷運府中站(2號出口),38,25.009537,121.460148,板橋區
1410,新莊勞工中心,32,25.020332,121.433736,新莊區
1411,名利橋,32,25.007850,121.500986,永和區
1412,捷運大坪林站(1號出口),28,24.982755,121.541249,新店區
1413,福和國中停車場,48,25.005011,121.522665,永和區
1414,元隆公園,74,25.007307,121.485051,中和區
1415,福美公園,40,25.055033,121.461081,新莊區
1416,輔仁大學附設醫院,40,25.039272,121.431004,新莊區
1417,民視數位媒體總部,40,25.079876,121.379259,林口區
1418,五股郵局,32,25.101774,121.451127,五股區
1419,新市一路一段99巷口,46,25.187429,121.431016,淡水區
1420,國泰街111巷口,34,25.006321,121.465773,板橋區
1421,湳雅觀光夜市(津渡橋),40,25.007585,121.452440,板橋區
1422,學成公園,34,24.988246,121.451187,土城區
1423,鳳祥公園,30,24.962819,121.330254,鶯歌區
1424,光明市場,34,25.057335,121.491809,三重區
1425,中興路二段100巷口,30,24.971355,121.547496,新店區
1426,福和橋,36,25.004536,121.527850,永和區
1427,土城國中,32,24.962443,121.430347,土城區
1428,安光公園,34,24.964233,121.514462,新店區
1429,崇德國小,40,25.069378,121.669788,汐止區
1430,中華中央路一段242巷口,38,24.985510,121.443450,土城區
1431,公五公園,44,25.086580,121.444520,五股區
1432,碧潭西岸,40,24.956562,121.534795,新店區
1433,樹林大安站,56,24.997312,121.421725,樹林區
1434,廣停二停車場,36,25.075711,121.370261,林口區
1435,民義公園,40,25.088350,121.434500,五股區
1436,大崙公園,32,25.076613,121.359704,林口區
1437,成州國小,28,25.099230,121.450630,五股區
1438,中興北街42巷17弄,34,25.050060,121.468920,三重區
1439,江翠國小,34,25.032480,121.474420,板橋區
1440,華江一華江九路口,40,25.032884,121.466442,板橋區
1441,三光國小(金滿意),36,25.055960,121.496874,三重區
1442,蘆洲中路公園,34,25.082299,121.468143,蘆洲區
1443,林口高中,38,25.073840,121.380300,林口區
1444,雙和橋,34,25.005731,121.505743,永和區
1445,海山高中,52,25.009108,121.471493,板橋區
1446,環河西路一段95巷口,32,25.017830,121.511957,永和區
1447,碧河宮,40,24.996726,121.493134,中和區
1448,萬板文聖街口,46,25.026295,121.479675,板橋區
1449,明德高中,34,24.907449,121.364848,三峽區
1450,鳳鳴國小,32,24.969198,121.334806,鶯歌區
1451,林本源園邸,42,25.011172,121.455710,板橋區
1452,藍天大樓,36,25.053098,121.470165,三重區
1453,忠孝國中,46,25.004810,121.461195,板橋區
1454,大智公園,30,25.063608,121.494449,三重區
1455,國際二國際一路口,38,24.976171,121.334938,鶯歌區
1456,三重高中,34,25.054777,121.491710,三重區
1457,昌平公園,40,25.058664,121.458109,新莊區
1458,新北市客家文化園區,38,24.941729,121.359538,三峽區
1459,台北海洋科技大學,38,25.191229,121.427011,淡水區
1460,蘭庭序大廈,30,25.072070,121.652070,汐止區
1461,福和路7巷口,30,25.008540,121.524732,永和區
1462,捷運新店區公所站(1 號出口),42,24.967369,121.541011,新店區
1463,新泰游泳池,26,25.045414,121.442734,新莊區
1464,森林公園,36,24.948177,121.379760,樹林區
1465,馥華公園,34,25.006117,121.445449,板橋區
1466,光復高中,42,25.017443,121.482513,板橋區
1467,南雅育智路口,46,24.953961,121.345824,鶯歌區
1468,穀保家商,38,25.068097,121.471028,三重區
1469,文德國小(公館街),38,25.021336,121.459595,板橋區
1470,學成大成路口,42,24.946248,121.382719,樹林區
1471,石雕公園,32,25.030261,121.469469,板橋區
1472,民生縣民大道口,40,25.018213,121.471011,板橋區
1473,新北市藝文中心(文化路二段124巷),36,25.025626,121.471401,板橋區
1474,四維公園地下停車場,60,25.025618,121.463967,板橋區
1475,廣福派出所,34,24.988019,121.456247,土城區
1476,新和活動中心,38,24.986771,121.521829,新店區
1477,大眾廟,40,25.037380,121.457660,新莊區
1478,化成公園,32,25.047860,121.461962,新莊區
1479,中悅兒童公園,36,24.941359,121.370524,三峽區
1480,新北市工商展覽中心,46,25.064345,121.447585,五股區
1481,金城裕民路口(中正國中),44,24.982933,121.456229,土城區
1482,圓通路335巷33弄,32,24.988992,121.493033,中和區
1483,海洋公園,36,24.947490,121.376895,三峽區
1484,浮洲合宜住宅(合宜一路),32,24.996520,121.442760,板橋區
1485,文山國中,30,24.955310,121.539270,新店區
1486,臺北大學(資訊中心),56,24.943170,121.369520,三峽區
1487,捷運府中站(1號出口),76,25.008180,121.459010,板橋區
1488,新莊田徑場,42,25.043570,121.452440,新莊區
1489,新泰國中,30,25.042880,121.444260,新莊區
